time_s0,RF_swing_s0,time_s1,RF_swing_s1,time_s2,RF_swing_s2,time_s3,RF_swing_s3,time_s4,RF_swing_s4,time_s5,RF_swing_s5,time_s6,RF_swing_s6,time_s7,RF_swing_s7,time_s8,RF_swing_s8,time_s9,RF_swing_s9,time_s10,RF_swing_s10,time_s11,RF_swing_s11,time_s12,RF_swing_s12,time_s13,RF_swing_s13,time_s14,RF_swing_s14,time_s15,RF_swing_s15
21.7667,0.4667,23.0767,0.4167,22.6533,0.3833,21.61,0.38,21.93,0.3833,22.3867,0.3667,22.36,0.4267,22.5,0.32,21.8933,0.3767,23.5167,0.5467,22.2867,0.36,21.6633,0.3733,22.4867,0.3867,21.7033,0.3833,21.8733,0.3867,22.06,0.35
22.93,0.4533,24.13,0.37,23.7167,0.3867,22.6433,0.37,23.0167,0.3967,23.5033,0.4133,23.46,0.39,23.53,0.3133,23.0233,0.4333,25.0233,0.5267,23.3567,0.3467,22.6633,0.37,23.5467,0.3933,22.7233,0.38,22.95,0.3933,23.0467,0.3533
24.12,0.47,25.2033,0.3833,24.8233,0.4,23.72,0.37,24.0633,0.39,24.6033,0.3967,24.5733,0.39,24.5833,0.3167,24.14,0.4133,26.5,0.5567,24.48,0.3467,23.68,0.3567,24.57,0.3733,23.77,0.3833,24.0133,0.4,24.0433,0.37
25.3233,0.4667,26.3267,0.4167,25.9267,0.3833,24.7533,0.3833,25.1133,0.3533,25.7,0.4033,25.7433,0.4433,25.63,0.3367,25.2367,0.39,27.99,0.56,25.59,0.3367,24.6867,0.3567,25.6233,0.3967,24.81,0.3933,25.1,0.4033,25.0233,0.35
26.4833,0.4467,27.41,0.4267,27.06,0.3967,25.82,0.37,26.13,0.3833,26.8133,0.41,26.91,0.44,26.6767,0.3167,26.3467,0.43,29.4833,0.56,26.6933,0.3433,25.71,0.3767,26.6833,0.4067,25.8367,0.3967,26.1633,0.4,26.0067,0.3667
27.6267,0.4567,28.6167,0.42,28.1633,0.3833,26.8833,0.36,27.15,0.3333,27.91,0.36,28.0133,0.42,27.7033,0.3233,27.4567,0.42,30.93,0.5333,27.76,0.3267,26.7067,0.3567,27.74,0.3967,26.86,0.3833,27.21,0.3667,26.9867,0.3533
28.7933,0.4467,29.6933,0.4067,29.2567,0.3767,27.9567,0.3733,28.2067,0.3733,29.0467,0.4067,29.11,0.3967,28.73,0.3267,28.61,0.4033,32.4367,0.5467,28.8267,0.3333,27.73,0.38,28.7867,0.4067,27.8733,0.3867,28.26,0.39,27.9833,0.35
29.9433,0.4667,30.78,0.3867,30.35,0.3867,29.05,0.3767,29.27,0.39,30.18,0.4133,30.2133,0.3967,29.7433,0.3333,29.78,0.4267,33.9433,0.5567,29.9,0.3433,28.7467,0.36,29.8367,0.3967,28.92,0.3967,29.31,0.3933,28.9833,0.3667
31.08,0.44,31.8433,0.3867,31.46,0.4,30.0767,0.3767,30.3067,0.3933,31.2667,0.37,31.34,0.41,30.78,0.3333,30.93,0.44,35.37,0.5233,30.9967,0.3367,29.7933,0.37,30.9033,0.3933,29.9533,0.3933,30.34,0.38,29.9667,0.3567
32.2067,0.4367,32.9233,0.37,32.5633,0.3967,31.1233,0.3667,31.3533,0.3367,32.3567,0.3967,32.47,0.4467,31.81,0.3167,32.0267,0.41,36.7633,0.5067,32.0867,0.35,30.8433,0.38,31.95,0.4067,30.9833,0.39,31.3433,0.3733,30.96,0.3667
33.35,0.4433,34.0333,0.43,33.6567,0.3833,32.1833,0.39,32.41,0.38,33.44,0.41,33.57,0.42,32.8567,0.3367,33.1433,0.4133,38.1733,0.5167,33.1633,0.35,31.8433,0.37,33.0233,0.41,32.01,0.3967,32.3733,0.37,31.9167,0.3567
34.5033,0.4567,35.1267,0.3833,34.74,0.3867,33.2333,0.3433,33.4367,0.34,34.5233,0.3867,34.6367,0.4333,33.88,0.33,34.2633,0.4133,39.59,0.53,34.2533,0.35,32.8633,0.3667,34.0767,0.3933,33.04,0.3967,33.3933,0.37,32.9233,0.3767
35.6367,0.4533,36.2133,0.4133,35.8433,0.39,34.32,0.3467,34.5,0.3567,35.6033,0.39,35.7233,0.4133,34.9067,0.3267,35.4233,0.4233,40.9833,0.5333,35.3267,0.34,33.8667,0.35,35.1433,0.3967,34.0767,0.39,34.4467,0.3967,33.94,0.3633
36.7933,0.45,37.3333,0.4,36.9,0.3467,35.4267,0.37,35.49,0.3367,36.65,0.3867,36.8367,0.4433,35.93,0.31,36.53,0.43,42.3833,0.5067,36.4233,0.34,34.8767,0.35,36.2033,0.3867,35.1033,0.38,35.4833,0.3833,34.9833,0.36
37.9967,0.4767,38.4467,0.4133,37.97,0.38,36.4133,0.36,36.5333,0.38,37.7033,0.3633,37.9167,0.3967,36.95,0.3333,37.64,0.4133,43.8133,0.52,37.5167,0.3567,35.8733,0.3767,37.23,0.3733,36.14,0.39,36.5233,0.3833,35.9867,0.37
39.2067,0.4533,39.55,0.4233,39.04,0.38,37.4,0.34,37.5567,0.3467,38.7533,0.3867,39.0133,0.4333,37.98,0.3267,38.76,0.4267,45.2633,0.5467,38.6,0.34,36.8933,0.3633,38.27,0.39,37.16,0.3833,37.55,0.3833,37.0,0.3767
40.36,0.4433,40.6567,0.4067,40.14,0.39,38.4267,0.37,38.61,0.3733,39.84,0.3633,40.0867,0.4,39.0167,0.3433,39.8767,0.42,46.7067,0.51,39.6733,0.34,37.8967,0.37,39.3233,0.3933,38.1833,0.38,38.58,0.3767,37.98,0.37
41.4933,0.4367,41.7467,0.3967,41.23,0.4033,39.4667,0.3667,39.67,0.3833,40.87,0.3567,41.1567,0.4133,40.06,0.3433,41.04,0.44,48.0867,0.5167,40.7567,0.3367,38.9067,0.3667,40.3567,0.39,39.2067,0.3767,39.62,0.38,38.95,0.3467
42.6133,0.43,42.8433,0.3933,42.34,0.4,40.5033,0.3467,40.7333,0.3833,41.8967,0.35,42.2433,0.36,41.0933,0.3367,42.17,0.4233,49.5367,0.5067,41.8333,0.3533,39.89,0.3533,41.38,0.3867,40.23,0.3833,40.6367,0.3533,39.9233,0.3467
43.73,0.42,43.9733,0.4133,43.4433,0.3967,41.5333,0.3633,41.8167,0.39,42.9567,0.3733,43.39,0.42,42.0933,0.32,43.3,0.42,51.0067,0.55,42.9333,0.3433,40.8967,0.3567,42.4167,0.3833,41.26,0.3933,41.6767,0.3767,40.9,0.3767
44.8467,0.4367,45.1333,0.4067,44.5133,0.3767,42.56,0.3633,42.89,0.39,44.01,0.3867,44.51,0.4367,43.1033,0.3267,44.3967,0.41,52.45,0.5267,44.0267,0.35,41.8867,0.37,43.5,0.4,42.28,0.3767,42.71,0.3867,41.89,0.3667
45.97,0.44,46.2267,0.41,45.58,0.3767,43.6133,0.3667,43.95,0.35,45.0633,0.39,45.6133,0.4233,44.15,0.35,45.52,0.4267,53.8233,0.5067,45.1233,0.3433,42.8933,0.3667,44.52,0.39,43.3233,0.3867,43.7633,0.3733,42.85,0.3667
47.09,0.4433,47.2967,0.37,46.6567,0.4067,44.65,0.3867,44.9133,0.3733,46.13,0.36,46.6533,0.4067,45.22,0.3367,46.66,0.44,55.2367,0.5067,46.1933,0.3533,43.9033,0.37,45.63,0.4167,44.3667,0.3867,44.7933,0.3533,43.8433,0.3433
48.22,0.44,48.4167,0.4033,47.75,0.39,45.66,0.36,46.0167,0.35,47.2333,0.4033,47.7233,0.3933,46.26,0.3367,47.7967,0.42,56.5967,0.5067,47.29,0.3467,44.9,0.3667,46.7367,0.4467,45.41,0.3867,45.85,0.3967,44.8067,0.3533
49.3267,0.44,49.5267,0.3967,48.88,0.4133,46.6833,0.3633,47.0533,0.39,48.3,0.3967,48.8133,0.42,47.2667,0.33,48.95,0.4333,57.97,0.51,48.3733,0.3533,45.9,0.3667,47.8,0.4,46.45,0.3967,46.9067,0.4033,45.78,0.3533
50.4133,0.43,50.6833,0.4133,49.9733,0.3867,47.7067,0.3367,48.1,0.34,49.3933,0.41,49.9033,0.4233,48.32,0.3433,50.01,0.4067,59.35,0.5067,49.4633,0.3567,46.8833,0.3533,48.8333,0.3933,47.48,0.3933,47.9633,0.3867,46.7633,0.3633
51.5667,0.4533,51.8233,0.4333,51.0533,0.3967,48.7233,0.3533,49.1367,0.3667,50.4533,0.3567,50.9833,0.41,49.3367,0.3433,51.1033,0.4233,60.7433,0.5033,50.5367,0.3367,47.85,0.3633,49.9233,0.4,48.52,0.3933,49.0133,0.39,47.76,0.3667
52.7167,0.46,52.9267,0.4167,52.1767,0.41,49.7367,0.35,50.1667,0.3767,51.5567,0.3667,52.0767,0.39,50.3567,0.3367,52.24,0.43,62.1333,0.4767,51.5967,0.3267,48.8467,0.3633,50.9867,0.3933,49.5567,0.38,50.0733,0.3967,48.7467,0.37
53.8567,0.4567,54.0067,0.39,53.2767,0.4133,50.7333,0.35,51.2333,0.3933,52.6567,0.3867,53.1533,0.4467,51.3867,0.3067,53.38,0.4033,63.5033,0.5167,52.6867,0.3533,49.84,0.37,52.05,0.3733,50.5733,0.3833,51.14,0.4,49.7267,0.3533
55.0067,0.45,55.1033,0.4067,54.4033,0.4,51.73,0.37,52.31,0.3867,53.7433,0.37,54.2933,0.44,52.3767,0.3233,54.4833,0.4167,64.89,0.5133,53.7833,0.3533,50.81,0.3567,53.09,0.3933,51.6,0.3767,52.1933,0.3967,50.7167,0.36
56.15,0.4433,56.1767,0.38,55.5167,0.4233,52.73,0.3633,53.36,0.3533,54.82,0.3967,55.3933,0.4,53.3833,0.33,55.6067,0.4333,66.2633,0.5233,54.89,0.3433,51.81,0.3567,54.1267,0.3733,52.6233,0.38,53.24,0.4,51.6867,0.37
57.28,0.45,57.29,0.3933,56.63,0.4167,53.7667,0.3533,54.3833,0.3833,55.91,0.4033,56.4733,0.4233,54.44,0.35,56.7167,0.4133,67.6133,0.52,55.9767,0.3533,52.8033,0.3767,55.19,0.4,53.6567,0.38,54.2967,0.39,52.6533,0.3533
58.4267,0.44,58.3867,0.4067,57.7567,0.41,54.82,0.38,55.4233,0.3767,56.99,0.3633,57.5667,0.42,55.5033,0.3467,57.83,0.4067,69.0367,0.4967,57.0633,0.34,53.7833,0.3667,56.2933,0.3867,54.69,0.3733,55.35,0.3833,53.6367,0.3567
59.5467,0.43,59.48,0.4033,58.8967,0.41,55.8367,0.3233,56.44,0.38,58.0667,0.3767,58.65,0.4067,56.56,0.3333,58.94,0.4233,70.4067,0.5167,58.1467,0.3367,54.76,0.37,57.4133,0.4067,55.7367,0.4067,56.42,0.3867,54.6567,0.3733
60.7233,0.4467,60.56,0.4033,60.0733,0.41,56.81,0.3333,57.4433,0.3533,59.1833,0.3733,59.7433,0.4167,57.6267,0.33,60.0167,0.4133,71.7833,0.5233,59.24,0.35,55.7533,0.3667,58.6633,0.5233,56.79,0.4033,57.4967,0.3867,55.6667,0.37
61.9367,0.4533,61.69,0.4,61.43,0.4233,57.8167,0.3433,58.52,0.3633,60.2467,0.4067,60.8267,0.4,58.71,0.3533,61.18,0.4167,73.1733,0.52,60.35,0.36,56.7433,0.3567,59.8233,0.46,57.8567,0.39,58.5833,0.4033,56.6467,0.3533
63.1167,0.4667,62.84,0.3867,62.6967,0.2167,58.8233,0.35,59.5633,0.3767,61.32,0.3967,61.9567,0.44,59.76,0.3433,62.29,0.4167,74.5733,0.5233,61.46,0.35,57.72,0.3333,60.95,0.4233,58.9233,0.38,59.66,0.3933,57.65,0.3767
64.47,0.4633,63.94,0.39,63.8433,0.3967,59.8633,0.38,60.59,0.36,62.4367,0.3867,63.0567,0.3933,60.79,0.35,63.4033,0.4133,75.9733,0.5033,62.56,0.35,58.72,0.3767,62.02,0.4067,59.98,0.3867,60.74,0.3767,58.63,0.3567
65.94,0.5533,65.0367,0.4067,64.9433,0.3867,60.89,0.3533,61.6167,0.34,63.52,0.4067,64.1467,0.4067,61.8433,0.34,64.52,0.4233,77.3967,0.53,63.65,0.3433,59.75,0.38,63.1067,0.3967,61.02,0.41,61.8367,0.3833,59.61,0.3567
67.1633,0.48,66.1367,0.3967,66.0533,0.3933,61.8967,0.3633,62.7167,0.4033,64.6033,0.3933,65.3167,0.4433,62.9267,0.35,65.63,0.41,78.77,0.5067,64.7733,0.34,60.76,0.3433,64.1933,0.3767,62.0967,0.4167,62.94,0.3967,60.5933,0.35
68.3733,0.4567,67.2667,0.3967,67.1467,0.39,62.9533,0.3633,63.7933,0.35,65.6967,0.3767,66.5067,0.44,64.0267,0.37,66.7567,0.43,80.1633,0.4967,65.9233,0.35,61.7867,0.3633,65.26,0.3933,63.1367,0.4067,64.1267,0.42,61.63,0.3533
69.5467,0.5033,68.4,0.42,68.23,0.3667,63.96,0.3667,64.8933,0.3933,66.7567,0.3533,67.7,0.4233,65.0633,0.3333,67.88,0.42,81.5867,0.5067,67.03,0.3633,62.85,0.3833,66.3067,0.3833,64.1833,0.3933,65.5133,0.5167,62.69,0.3833
70.8633,0.5167,69.5833,0.42,69.3033,0.3767,64.97,0.36,65.9867,0.39,67.83,0.37,68.9167,0.4367,66.1167,0.38,68.9833,0.4167,83.0467,0.5133,67.98,0.2733,63.96,0.3867,67.3667,0.4,65.2133,0.3833,66.63,0.3867,63.8067,0.4167
72.0567,0.48,70.82,0.4,70.3767,0.37,65.9633,0.3533,67.06,0.39,68.94,0.4,70.0267,0.25,67.1333,0.32,70.12,0.43,84.8533,0.5467,69.01,0.3,65.1133,0.4267,68.4167,0.3833,66.2533,0.39,67.71,0.39,64.8633,0.35
73.22,0.45,72.2233,0.4967,71.4467,0.3833,66.9767,0.3567,68.0933,0.37,70.0667,0.41,71.1967,0.4233,68.17,0.36,71.2333,0.4333,86.5567,0.6833,70.14,0.3733,66.39,0.5067,69.4767,0.3767,67.2867,0.3867,68.7767,0.3933,65.9267,0.39
74.3633,0.4533,73.57,0.5,72.5233,0.4033,68.01,0.3667,69.1833,0.3833,71.27,0.4233,72.3,0.4167,69.19,0.33,72.3767,0.42,88.01,0.51,71.2167,0.34,67.4667,0.4033,70.55,0.3867,68.3133,0.3867,69.8433,0.3967,66.9567,0.3733
75.4967,0.4333,74.7833,0.4333,73.6233,0.3833,69.04,0.35,70.3167,0.4067,72.4467,0.43,73.4633,0.4533,70.19,0.3133,73.5567,0.4367,89.48,0.5467,72.3033,0.34,68.49,0.38,71.5967,0.3967,69.3467,0.3833,70.9167,0.3733,67.98,0.38
76.65,0.4367,75.93,0.4167,74.73,0.3833,70.0833,0.3433,71.4,0.3733,73.7133,0.2867,74.5933,0.4267,71.2433,0.34,74.7533,0.43,90.8933,0.5,73.4233,0.35,69.52,0.3767,72.6567,0.3867,70.3667,0.3733,72.0067,0.39,68.98,0.37
77.8133,0.4433,77.04,0.3967,75.8367,0.39,71.1067,0.3733,72.57,0.2867,74.8233,0.3867,75.6967,0.4033,72.34,0.3267,76.7767,0.41,92.3467,0.5167,74.53,0.3467,70.54,0.3733,73.7233,0.3867,71.3933,0.3767,73.0833,0.4,70.0133,0.3633
78.9733,0.4433,78.17,0.39,76.9233,0.3867,72.1233,0.3633,73.7467,0.4167,75.9033,0.3867,76.8,0.4233,73.46,0.3067,77.9733,0.4567,93.79,0.5,75.6067,0.34,71.6067,0.3733,74.7667,0.3833,72.44,0.3867,74.1167,0.3833,71.0633,0.3833
80.1367,0.4333,79.33,0.4167,78.0033,0.38,73.1467,0.37,74.8567,0.4033,77.0033,0.39,77.8767,0.3767,74.56,0.3133,79.1733,0.4533,95.23,0.53,76.68,0.3567,72.6533,0.3533,75.8067,0.39,73.46,0.39,75.15,0.39,72.0967,0.3867
81.31,0.47,80.5267,0.4267,79.09,0.3667,74.2,0.3533,75.92,0.3467,78.0967,0.4,78.9433,0.4233,75.6233,0.3433,80.3033,0.4233,96.67,0.5333,77.75,0.3433,73.6967,0.3767,76.89,0.4,74.4833,0.3767,76.1933,0.3933,73.0967,0.3767
82.4633,0.4367,81.6133,0.3867,80.1667,0.3867,75.24,0.3533,77.0233,0.3733,79.2367,0.38,80.02,0.4133,76.6667,0.3267,81.42,0.4,98.0633,0.5,78.8167,0.3367,74.7233,0.36,77.94,0.3733,75.52,0.3833,77.25,0.3833,74.0667,0.35
83.6233,0.4567,82.7,0.41,81.26,0.38,76.27,0.3533,78.1167,0.3833,80.3633,0.4067,81.1,0.4167,77.7433,0.3467,82.57,0.42,99.4567,0.4933,79.9067,0.34,75.71,0.3633,78.9767,0.3867,76.5633,0.39,78.3,0.38,75.0367,0.36
84.79,0.44,83.8167,0.3967,82.3467,0.39,77.3333,0.37,79.1967,0.39,81.4733,0.37,82.1933,0.3933,78.78,0.34,83.7233,0.43,100.91,0.4933,81.0,0.3433,76.7033,0.36,80.0267,0.3833,77.5967,0.37,79.3733,0.3867,76.0333,0.3733
85.9567,0.4567,84.92,0.3667,83.43,0.37,78.47,0.3767,80.2467,0.3833,82.54,0.4,83.3233,0.4233,79.8367,0.3367,84.8333,0.3967,102.3333,0.5267,82.0933,0.3433,77.71,0.3533,81.0533,0.3833,78.62,0.3767,80.45,0.41,77.0333,0.36
87.1233,0.4533,86.0367,0.4167,84.5,0.38,79.5833,0.35,81.31,0.3867,83.6333,0.3833,84.3667,0.3767,80.8667,0.31,85.9533,0.4233,103.72,0.4967,83.17,0.3233,78.7233,0.3767,82.11,0.3933,79.6567,0.39,81.51,0.3967,78.0067,0.3467
88.25,0.4367,87.08,0.3867,85.5933,0.3933,80.6133,0.3767,82.37,0.38,84.7067,0.3633,85.4067,0.35,81.9033,0.3067,87.0433,0.4,105.11,0.5,84.2467,0.3533,79.7367,0.3867,83.17,0.3933,80.6967,0.39,82.5533,0.3767,78.9367,0.3467
89.42,0.45,88.1433,0.3967,86.68,0.38,81.66,0.3967,83.42,0.3833,85.7933,0.3967,86.5067,0.3933,82.9133,0.3433,88.15,0.41,106.52,0.51,85.32,0.35,80.7033,0.3467,84.2233,0.3767,81.7267,0.3867,83.5967,0.3767,79.9,0.3467
90.5867,0.44,89.2367,0.4067,87.7433,0.3767,82.67,0.3633,84.4833,0.3767,86.8767,0.37,87.57,0.3667,83.8833,0.2933,89.26,0.4167,107.93,0.51,86.4067,0.3567,81.6667,0.33,85.2867,0.3933,82.7767,0.3867,84.6167,0.38,80.9,0.3567
91.77,0.4633,90.3467,0.41,88.82,0.3767,83.6467,0.3267,85.5333,0.3967,87.9433,0.3733,88.6867,0.4133,84.8567,0.31,90.4367,0.4133,109.35,0.5033,87.4867,0.34,82.6667,0.37,86.3433,0.3933,83.8067,0.39,85.65,0.39,81.9167,0.3833
92.94,0.47,91.42,0.4333,89.8833,0.3833,84.6633,0.35,86.5833,0.35,89.01,0.3567,89.79,0.41,85.8633,0.38,91.59,0.4167,110.79,0.51,88.54,0.34,83.67,0.37,87.4067,0.3833,84.8433,0.3833,86.6933,0.3633,82.9233,0.3533
94.1033,0.4533,92.5967,0.3633,90.9467,0.3767,85.66,0.34,87.6133,0.3767,90.1,0.3767,90.8967,0.4133,86.8867,0.3267,92.73,0.4,112.1633,0.4967,89.62,0.3467,84.6667,0.3533,88.4667,0.3933,85.87,0.3767,87.73,0.39,83.92,0.34
95.29,0.45,93.75,0.4233,92.0233,0.3633,86.6933,0.36,88.6967,0.3833,91.1567,0.37,91.98,0.42,87.9167,0.3367,93.8433,0.41,113.5833,0.5133,90.71,0.3567,85.65,0.35,89.5133,0.3933,86.92,0.39,88.7833,0.38,84.8867,0.3467
96.47,0.47,94.8533,0.4167,93.1033,0.3967,87.7167,0.3733,89.74,0.3833,92.21,0.3633,93.0567,0.39,88.9467,0.3333,94.9833,0.42,115.01,0.5067,91.7867,0.35,86.64,0.3667,90.59,0.3867,87.9467,0.3867,89.8267,0.3933,85.8733,0.3733
97.64,0.4467,95.97,0.3967,94.1967,0.4133,88.74,0.36,90.7733,0.4,93.3,0.3833,94.1367,0.4033,89.9767,0.32,96.11,0.4167,116.4267,0.5267,92.85,0.3367,87.63,0.3533,91.6567,0.4,88.98,0.3767,90.84,0.3533,86.8567,0.35
98.8,0.4433,97.0733,0.4167,95.2867,0.39,89.7533,0.3767,91.8667,0.3667,94.39,0.39,95.2367,0.42,90.9667,0.32,97.21,0.4133,117.83,0.51,93.9067,0.3333,88.6433,0.38,92.71,0.3767,90.0067,0.38,91.91,0.39,87.86,0.37
99.9833,0.46,98.2,0.4167,96.38,0.4133,90.7933,0.3867,92.9367,0.39,95.4467,0.36,96.3233,0.4,91.9833,0.3133,98.3533,0.4367,119.2067,0.5033,94.9633,0.3367,89.6367,0.3433,93.8033,0.4167,91.05,0.3867,92.9433,0.37,88.8367,0.36
101.1333,0.4567,99.3367,0.4267,97.48,0.3967,91.8167,0.3567,93.9633,0.3933,96.5133,0.36,97.39,0.3933,92.99,0.32,99.4333,0.3833,120.5667,0.5033,96.0133,0.33,90.63,0.3667,94.85,0.39,92.0867,0.38,94.0167,0.3833,89.83,0.35
102.25,0.43,100.4533,0.4,98.56,0.3833,92.86,0.38,95.0467,0.3533,97.5667,0.3567,98.46,0.4,93.9767,0.2833,100.5733,0.4467,121.9233,0.4867,97.06,0.3333,91.63,0.37,95.9233,0.3967,93.1367,0.3833,95.0667,0.3933,90.81,0.36
103.39,0.4433,101.57,0.41,99.6667,0.3767,93.9267,0.3833,96.11,0.3933,98.65,0.4067,99.51,0.4067,94.99,0.3267,101.6867,0.42,123.3033,0.4933,98.13,0.3367,92.6067,0.3767,96.9867,0.3933,94.1767,0.39,96.1033,0.3867,91.8033,0.36
104.5767,0.4533,102.6433,0.3833,100.7633,0.3833,94.94,0.36,97.16,0.3733,99.74,0.3833,100.55,0.3967,96.02,0.33,102.8,0.4267,124.6767,0.5033,99.2033,0.34,93.63,0.3733,98.0833,0.3967,95.2033,0.3833,97.1467,0.3933,92.78,0.36
105.7467,0.47,103.71,0.3867,101.86,0.3867,95.98,0.3633,98.23,0.38,100.8067,0.3633,101.6167,0.38,97.0333,0.31,103.9333,0.4233,126.0167,0.4933,100.2667,0.3433,94.63,0.3733,99.19,0.4067,96.2367,0.3867,98.19,0.3867,93.7833,0.3667
106.89,0.45,104.8167,0.3933,102.9433,0.3933,97.0233,0.3633,99.2733,0.38,101.88,0.4133,102.7167,0.4,98.06,0.33,105.0633,0.41,127.38,0.5033,101.33,0.34,95.6233,0.3767,100.2667,0.4,97.2867,0.38,99.22,0.38,94.7533,0.36
108.05,0.44,105.8967,0.3967,104.0233,0.37,98.0667,0.3767,100.34,0.39,102.9767,0.3833,103.8333,0.4133,99.1233,0.3267,106.1433,0.4033,128.7333,0.49,102.41,0.3533,96.6233,0.3633,101.34,0.3933,98.3333,0.3933,100.24,0.3767,95.72,0.36
109.2033,0.4467,106.95,0.38,105.1067,0.3867,99.1067,0.37,101.3933,0.3833,104.0467,0.3733,104.95,0.4233,100.1967,0.3467,107.2533,0.4233,130.09,0.49,103.54,0.3567,97.6233,0.3867,102.3967,0.4,99.37,0.3933,101.2967,0.3833,96.7,0.3533
110.35,0.44,108.0367,0.3833,106.1933,0.3833,100.14,0.3667,102.4467,0.3867,105.1433,0.3767,106.02,0.3967,101.2,0.3067,108.3833,0.4133,131.4467,0.4967,104.6333,0.35,98.6367,0.36,103.4467,0.37,100.4133,0.3867,102.33,0.38,97.6767,0.3667
111.5,0.4433,109.1,0.3933,107.3033,0.3933,101.1967,0.39,103.48,0.37,106.2033,0.3633,107.1167,0.4167,102.1967,0.3267,109.5267,0.4233,132.7967,0.49,105.7133,0.34,99.6333,0.3633,104.5267,0.4,101.4633,0.3967,103.3867,0.3833,98.6567,0.34
112.6367,0.44,110.2333,0.4167,108.4033,0.3867,102.2267,0.3767,104.5333,0.3867,107.2867,0.3733,108.2067,0.39,103.1967,0.3167,110.65,0.4133,134.1733,0.5033,106.8,0.3467,100.65,0.36,105.5767,0.3933,102.5133,0.39,104.42,0.3833,99.6633,0.38
113.7733,0.4533,111.3567,0.4367,109.4667,0.3733,103.2533,0.39,105.5867,0.39,108.3633,0.3767,109.34,0.4067,104.1967,0.3067,111.7667,0.4,135.5833,0.4967,107.9,0.3367,101.68,0.3733,106.6233,0.38,103.5767,0.3933,105.4433,0.38,100.6567,0.36
114.9233,0.4433,112.45,0.38,110.55,0.39,104.2933,0.3633,106.6467,0.3833,109.4133,0.35,110.4333,0.39,105.2133,0.3133,112.88,0.4133,136.9833,0.5,108.9867,0.35,102.7167,0.3733,107.6867,0.3833,104.6167,0.3967,106.47,0.38,101.64,0.36
116.07,0.4433,113.5633,0.4133,111.6467,0.38,105.3133,0.3667,107.7033,0.39,110.49,0.39,111.6133,0.4333,106.3033,0.3433,113.97,0.4167,138.35,0.49,110.0567,0.3533,103.7433,0.3767,108.74,0.39,105.6467,0.38,107.5167,0.3767,102.5967,0.36
117.21,0.4333,114.7033,0.4167,112.76,0.4033,106.3533,0.38,108.7167,0.3733,111.5433,0.3733,112.7633,0.4167,107.2933,0.3033,115.07,0.42,139.7033,0.4933,111.1233,0.3433,104.7367,0.3467,109.8267,0.3867,106.6767,0.3867,108.5767,0.39,103.6,0.37
118.3767,0.4433,115.7933,0.37,113.8667,0.3867,107.39,0.3733,109.79,0.39,112.62,0.3833,113.8433,0.3833,108.29,0.3467,116.1367,0.41,141.09,0.5133,112.1867,0.32,105.7467,0.3667,110.9267,0.3767,107.7367,0.3833,109.6167,0.3833,104.6,0.3567
119.5667,0.4433,116.8533,0.4,115.0,0.3867,108.4367,0.3767,110.8033,0.39,113.6967,0.36,114.88,0.3733,109.2933,0.3367,117.2833,0.4367,142.4767,0.49,113.2333,0.33,106.74,0.3667,112.03,0.4,108.7867,0.3933,110.6633,0.3867,105.62,0.3633
120.77,0.4367,117.9,0.37,116.21,0.43,109.47,0.3967,111.8567,0.38,114.78,0.3633,115.9667,0.42,110.3,0.3367,118.4,0.4167,143.86,0.5,114.3067,0.33,107.7033,0.3667,113.21,0.4767,109.8233,0.3833,111.73,0.3867,106.5933,0.3533
123.43,0.2533,119.04,0.4133,117.6,0.46,110.49,0.35,112.8667,0.38,115.8667,0.3667,117.0333,0.4,111.2967,0.31,119.4933,0.39,145.23,0.5033,115.3833,0.33,108.69,0.3367,114.3333,0.4333,110.88,0.3867,112.7533,0.37,107.57,0.3567
124.75,0.44,120.1333,0.4033,118.93,0.43,111.48,0.3567,113.94,0.39,116.91,0.36,118.1433,0.3967,112.3433,0.3167,120.6167,0.42,146.5767,0.4967,116.4367,0.3333,109.6833,0.3767,115.45,0.41,111.94,0.3867,113.8033,0.3833,108.55,0.3567
