time_s0,RF_swing_s0,time_s1,RF_swing_s1,time_s2,RF_swing_s2,time_s3,RF_swing_s3,time_s4,RF_swing_s4,time_s5,RF_swing_s5,time_s6,RF_swing_s6,time_s7,RF_swing_s7,time_s8,RF_swing_s8,time_s9,RF_swing_s9,time_s10,RF_swing_s10,time_s11,RF_swing_s11,time_s12,RF_swing_s12,time_s13,RF_swing_s13,time_s14,RF_swing_s14
22.6367,0.3233,22.55,0.34,21.9967,0.2867,22.37,0.3533,21.9267,0.2733,21.77,0.33,22.2933,0.38,22.18,0.3533,22.94,0.5167,22.4633,0.4833,22.32,0.3733,21.6433,0.3833,22.6633,0.73,22.5267,0.39,22.9767,0.38
23.7767,0.3233,23.7467,0.36,22.9667,0.25,23.5167,0.37,22.9133,0.3467,22.8767,0.35,23.3733,0.3333,23.31,0.3467,24.3,0.4967,23.7767,0.4567,23.2767,0.3667,22.6933,0.3733,24.1267,0.6733,23.6433,0.3867,24.36,0.59
24.8633,0.3533,24.9433,0.34,24.0033,0.3367,24.6933,0.3467,23.8767,0.36,24.0833,0.38,24.4367,0.35,24.3867,0.4,25.6767,0.49,25.0333,0.45,24.2633,0.3667,23.76,0.3867,25.6033,0.72,24.7167,0.3667,25.6433,0.42
25.9467,0.3267,26.1167,0.3433,24.9467,0.2667,25.8767,0.3733,24.8,0.2933,25.1667,0.3133,25.4867,0.35,25.4767,0.3933,27.2167,0.62,26.31,0.4633,25.23,0.3633,24.79,0.4067,27.0567,0.72,25.84,0.3433,27.05,0.4633
26.9767,0.3433,27.26,0.3533,25.95,0.2533,26.9767,0.34,25.7733,0.29,26.3433,0.3633,26.5467,0.3,26.58,0.3833,28.6233,0.54,27.58,0.4433,26.2233,0.38,25.85,0.3967,28.4767,2.5067,26.9733,0.3933,28.36,0.3967
28.1067,0.3733,28.3667,0.3467,26.8933,0.26,28.2133,0.3567,26.7733,0.3333,27.41,0.33,27.62,0.3867,27.6567,0.39,29.9467,0.4967,28.8467,0.45,27.1767,0.36,27.0467,0.4767,29.7967,0.8833,28.04,0.3867,29.7333,0.4233
29.2567,0.38,29.52,0.35,27.98,0.2533,29.3767,0.3533,27.77,0.2767,28.51,0.4133,28.6833,0.36,28.7533,0.33,31.2133,0.47,30.1133,0.4367,28.1433,0.35,28.0633,0.34,31.11,0.9567,29.1033,0.35,31.0633,0.4433
30.3367,0.3667,30.6467,0.3533,28.8833,0.2267,30.5867,0.38,28.73,0.33,29.6233,0.37,29.74,0.3167,29.8333,0.3833,32.4933,0.48,31.4133,0.4633,29.1033,0.3567,29.1333,0.38,32.4333,0.9567,30.1933,0.3767,32.3367,0.36
31.5033,0.3867,31.8367,0.3033,29.8233,0.22,31.7067,0.3567,29.6967,0.29,30.7533,0.3267,30.81,0.35,31.0333,0.36,33.7433,0.5,32.6333,0.43,30.1,0.3667,30.18,0.38,33.65,1.8833,31.4,0.39,33.6467,0.4567
32.6333,0.39,33.01,0.2967,30.7867,0.2367,32.8867,0.35,30.65,0.29,31.86,0.4067,31.88,0.3467,32.19,0.3533,34.95,0.4733,33.8867,0.45,31.1233,0.3767,31.27,0.3967,34.8833,0.6267,32.6167,0.4033,34.8267,0.3767
33.73,0.3233,34.1633,0.35,31.7167,0.2433,34.1033,0.42,31.5833,0.28,32.97,0.3333,32.9633,0.3667,33.3467,0.3867,36.25,0.4767,35.1233,0.4433,32.07,0.3633,32.3467,0.4167,36.02,0.5267,33.8233,0.3867,36.03,0.3167
34.8633,0.39,35.3633,0.36,32.68,0.2467,35.32,0.3667,32.5533,0.3333,34.0967,0.33,34.0267,0.37,34.4233,0.3833,37.5067,0.4867,36.4467,0.4533,33.0433,0.3567,33.4067,0.3933,37.2967,0.5867,35.0833,0.42,37.32,0.41
35.8967,0.31,36.5233,0.3567,33.6567,0.2633,36.5167,0.3567,33.54,0.29,35.2467,0.3533,35.0567,0.3033,35.51,0.34,38.7833,0.4933,37.7567,0.4667,34.0033,0.3667,34.4667,0.3967,38.5167,0.54,36.3367,0.4033,38.61,0.4033
36.96,0.3033,37.6367,0.2967,34.6333,0.2367,37.6967,0.3467,34.5567,0.2767,36.4167,0.3933,36.0767,0.3367,36.6367,0.3433,40.0933,0.5333,39.01,0.4633,34.9733,0.3667,35.5733,0.3733,39.7633,0.5767,37.4733,0.3667,39.9033,0.3533
38.08,0.3867,38.79,0.3533,35.6333,0.2367,38.89,0.3633,35.5533,0.34,37.6033,0.39,37.14,0.3167,37.7433,0.3733,41.32,0.4667,40.3667,0.4667,35.9733,0.3767,36.63,0.4033,41.02,0.63,38.7133,0.4167,41.1967,0.4233
39.1933,0.3467,39.8967,0.28,36.5567,0.2533,40.0567,0.3533,36.49,0.2767,38.7633,0.3533,38.2567,0.3667,38.8967,0.4033,42.6133,0.48,41.59,0.43,36.9667,0.3767,37.6633,0.3367,42.18,0.4233,39.91,0.3867,42.3733,0.3167
40.3067,0.3367,41.0733,0.3,37.5633,0.24,41.24,0.3567,37.3967,0.27,39.8833,0.3,39.3567,0.4033,40.0767,0.3767,43.88,0.4967,42.8233,0.43,37.9333,0.3533,38.7467,0.3967,43.39,0.5333,41.0933,0.3733,43.7633,0.4433
41.46,0.38,42.27,0.3467,38.4867,0.24,42.3867,0.3433,38.38,0.2967,41.0167,0.3767,40.3767,0.3033,41.1767,0.3533,45.1567,0.48,44.0667,0.43,38.8733,0.3567,39.8267,0.4033,44.59,0.5367,42.2667,0.38,45.1067,0.4433
42.5,0.3533,43.36,0.2933,39.4467,0.26,43.55,0.36,39.35,0.3367,42.1833,0.37,41.44,0.3633,42.2533,0.3767,46.4233,0.5133,45.2867,0.44,39.8267,0.3567,40.9167,0.4,45.7433,0.5,43.4667,0.3767,46.44,0.43
43.5667,0.37,44.51,0.3167,40.5033,0.2533,44.7267,0.3667,40.31,0.28,43.35,0.3233,42.47,0.3367,43.41,0.35,47.6867,0.4767,46.5633,0.4533,40.75,0.3533,41.97,0.41,46.97,0.5067,44.64,0.38,47.8667,0.4167
44.6667,0.3367,45.6833,0.34,41.5767,0.2767,45.88,0.37,41.2633,0.2767,44.4967,0.3367,43.5,0.37,44.5,0.3267,48.8667,0.4467,47.8067,0.4333,41.69,0.35,43.01,0.3933,48.2367,0.55,45.8333,0.41,49.2767,0.4133
45.7567,0.3533,46.8633,0.3467,42.62,0.2967,47.1167,0.3367,42.2567,0.2833,45.6033,0.3633,44.6233,0.38,45.5667,0.3433,50.05,0.4233,49.06,0.45,42.6633,0.37,44.08,0.4,49.43,0.5133,46.9367,0.3567,50.4,0.2667
46.8433,0.3667,48.03,0.32,43.59,0.22,48.2967,0.33,43.2433,0.27,46.7033,0.3667,45.7533,0.3867,46.7167,0.3867,51.29,0.4967,50.2867,0.4533,43.6633,0.37,45.1567,0.3867,50.6733,0.5033,48.0667,0.3533,51.7433,0.3533
47.92,0.35,49.2767,0.3733,44.6567,0.3267,49.4633,0.32,44.14,0.3067,47.8567,0.3633,46.83,0.36,47.8633,0.37,52.5167,0.4833,51.5367,0.4433,44.6633,0.3667,46.2367,0.4,51.8767,0.4967,49.2367,0.3733,53.1267,0.4233
49.0333,0.37,50.4467,0.3567,45.6233,0.2367,50.6533,0.3667,45.0933,0.2933,48.97,0.3933,47.8367,0.3467,49.0367,0.3833,53.7367,0.4833,52.8,0.46,45.59,0.36,47.2967,0.3867,53.1267,0.5533,50.33,0.3633,54.51,0.4667
50.0567,0.33,51.63,0.3467,46.5967,0.2367,51.8367,0.35,46.0233,0.2933,50.1067,0.3967,48.9667,0.3467,50.18,0.3533,55.03,0.47,53.99,0.43,46.55,0.3567,48.3,0.38,54.21,0.43,51.56,0.3933,55.7833,0.38
51.18,0.3633,52.8233,0.3633,47.6133,0.2867,52.99,0.3633,46.9867,0.3033,51.24,0.3767,50.02,0.3167,51.3667,0.3733,56.26,0.49,55.2033,0.43,47.5167,0.37,49.38,0.4,55.39,0.4667,52.7967,0.3233,57.16,0.41
52.2667,0.3367,53.99,0.34,48.6033,0.2433,54.1167,0.3533,47.94,0.2933,52.3967,0.38,51.1167,0.35,52.5367,0.35,57.4967,0.49,56.4033,0.4467,48.52,0.36,50.3933,0.3933,56.5467,0.4367,53.95,0.3667,58.5467,0.4333
53.3967,0.36,55.1967,0.3833,49.5833,0.2367,55.2767,0.3633,48.91,0.3267,53.4967,0.3567,52.18,0.3633,53.68,0.3733,58.8133,0.52,57.6433,0.4467,49.52,0.3667,51.4667,0.4067,57.63,0.3433,55.1567,0.37,59.9433,0.4767
54.4967,0.3533,56.38,0.3633,50.51,0.25,56.3767,0.2833,49.9033,0.29,54.6633,0.3467,53.2033,0.2667,54.8167,0.3733,60.0367,0.5,58.8767,0.4267,50.5367,0.3767,52.5167,0.39,58.7067,0.42,56.3133,0.3667,61.19,0.29
55.58,0.3933,57.62,0.37,51.45,0.2433,57.5167,0.32,50.8667,0.29,55.7767,0.3533,54.2733,0.35,55.88,0.37,61.2967,0.4833,60.1233,0.4267,51.5833,0.3833,53.5433,0.3833,59.8267,0.4767,57.4533,0.3667,62.5433,0.4767
56.6767,0.3367,58.8033,0.3067,52.43,0.2733,58.7,0.3767,51.7967,0.2933,56.9367,0.37,55.3567,0.36,56.99,0.3433,62.5033,0.4433,61.34,0.44,52.54,0.3667,54.61,0.38,60.9233,0.35,58.5867,0.3367,64.0,0.4767
57.7267,0.2867,59.9367,0.3433,53.39,0.2433,59.8767,0.3767,52.77,0.2767,58.05,0.3467,56.42,0.33,58.0833,0.3567,63.74,0.4733,62.57,0.46,53.48,0.3667,55.6433,0.3833,61.9833,0.4667,59.78,0.3733,65.21,0.42
58.8333,0.41,61.07,0.34,54.4,0.2633,61.0233,0.3633,53.6833,0.27,59.13,0.3167,57.5433,0.3767,59.1567,0.38,64.9933,0.4933,63.8233,0.4433,54.4767,0.37,56.6933,0.4067,63.1633,0.4967,60.9067,0.38,66.6867,0.4767
59.9333,0.3433,62.2533,0.36,55.58,0.3067,62.1633,0.3633,54.6233,0.2967,60.2667,0.3433,58.6367,0.3367,60.26,0.36,66.18,0.4767,65.0267,0.4467,55.43,0.3633,57.7233,0.3833,64.24,0.3933,62.07,0.38,68.1233,0.4767
61.02,0.34,63.4133,0.34,56.7867,0.3767,63.3,0.33,55.58,0.32,61.3767,0.2967,59.71,0.33,61.3667,0.34,67.36,0.47,66.2367,0.4533,56.41,0.3667,58.7367,0.3767,65.41,0.5033,63.24,0.4,69.5667,0.4233
62.0733,0.33,64.6133,0.38,57.9567,0.3433,64.43,0.3633,56.56,0.28,62.4433,0.28,60.83,0.3567,62.4367,0.3233,68.56,0.48,67.4433,0.44,57.3867,0.3667,59.7933,0.39,66.5033,0.44,64.3233,0.3733,70.9933,0.4533
63.1633,0.32,65.8,0.3567,59.1,0.3167,65.5867,0.3867,57.49,0.2733,63.6633,0.4133,61.85,0.3833,63.5033,0.34,69.75,0.4433,68.6967,0.4567,58.39,0.38,60.7933,0.38,67.68,0.52,65.3967,0.36,72.3167,0.3733
64.2567,0.3467,66.96,0.3667,60.2933,0.2333,66.71,0.36,58.4033,0.32,64.82,0.36,62.98,0.3367,64.62,0.3567,71.0733,0.5167,69.9033,0.4333,59.3567,0.3633,61.8433,0.3833,68.7433,0.4167,66.4967,0.3333,73.6833,0.4567
65.3233,0.3333,68.14,0.3767,61.2967,0.2567,67.9067,0.3633,59.3,0.2633,66.0067,0.4067,64.0567,0.3533,65.7433,0.3467,72.3767,0.51,71.1267,0.4267,60.3433,0.3667,62.91,0.39,69.8833,0.4767,67.57,0.3633,74.92,0.3367
66.4233,0.3367,69.2833,0.33,62.3767,0.33,69.1,0.37,60.24,0.33,67.11,0.3267,65.0467,0.3267,66.8667,0.31,73.5633,0.4867,72.3,0.4033,61.29,0.3633,63.9133,0.37,71.0467,0.4833,68.6333,0.2433,76.1033,0.3633
67.53,0.3567,70.4633,0.37,63.4633,0.3167,70.2633,0.3833,61.24,0.3067,68.2833,0.3067,66.1467,0.3033,67.95,0.36,74.72,0.43,73.53,0.4467,62.26,0.3567,64.9467,0.3867,72.1933,0.4933,69.7467,0.3733,77.07,0.3467
68.63,0.34,71.61,0.3467,64.52,0.2767,71.4433,0.3733,62.2433,0.3367,69.4333,0.3133,67.17,0.38,69.06,0.4,75.8667,0.44,74.7633,0.44,63.2067,0.3533,65.98,0.37,73.3433,0.4933,70.8033,0.2733,77.8033,0.22
69.7133,0.35,72.7967,0.3667,65.6,0.31,72.59,0.38,63.28,0.3233,70.51,0.4033,68.2367,0.3067,70.24,0.4233,77.09,0.4633,75.99,0.4267,64.1533,0.3367,67.07,0.4,74.4867,0.4833,71.9567,0.37,78.74,0.2933
70.7967,0.3533,73.9833,0.2933,66.65,0.27,73.7433,0.3533,64.2733,0.2933,71.65,0.4233,69.3233,0.34,71.37,0.38,78.3467,0.48,77.2567,0.4833,65.1467,0.3667,68.1233,0.39,75.71,0.52,73.0233,0.3733,79.9333,0.34
71.9167,0.3967,75.1633,0.3667,67.7367,0.3067,74.91,0.36,65.2167,0.2867,72.77,0.3267,70.4367,0.3533,72.4833,0.3533,79.54,0.4667,78.51,0.4467,66.13,0.3533,69.1633,0.3767,76.9067,0.52,74.0933,0.3567,81.1567,0.3267
73.0367,0.39,76.3733,0.36,68.7533,0.28,76.1367,0.37,66.2167,0.34,73.8867,0.3967,71.52,0.3967,73.65,0.3833,80.7833,0.4533,79.7167,0.4267,67.1467,0.38,70.2767,0.4,77.99,0.45,75.2267,0.36,82.2967,0.3867
74.05,0.3033,77.5033,0.3,69.7833,0.27,77.3333,0.35,67.2167,0.3133,75.02,0.3233,72.64,0.38,74.7833,0.3467,82.0433,0.4967,80.97,0.4467,68.1533,0.3633,71.38,0.4067,79.12,0.4867,76.3967,0.3833,83.6667,0.4433
75.1333,0.36,78.66,0.3567,70.82,0.27,78.4633,0.1133,68.2433,0.3567,76.1533,0.3733,73.7033,0.3567,75.9033,0.3167,83.2767,0.4933,82.2633,0.46,69.2833,0.38,72.43,0.39,80.1967,0.4,77.6567,0.4067,85.0067,0.4267
76.2833,0.37,79.8467,0.3433,71.82,0.2767,79.8267,0.19,69.23,0.3533,77.3033,0.3567,74.7733,0.3567,77.03,0.3567,84.5367,0.4933,83.5467,0.4467,70.4667,0.4633,73.49,0.38,81.35,0.51,78.8533,0.4233,86.34,0.35
77.3667,0.37,81.0367,0.3633,72.8233,0.2433,81.07,0.4133,70.25,0.2967,78.3967,0.33,75.8267,0.35,78.1367,0.34,85.83,0.5133,84.93,0.47,71.7,0.4167,74.5867,0.3967,82.4167,0.4067,80.12,0.4067,87.7233,0.4
78.4233,0.3367,82.1933,0.3033,73.8567,0.2533,82.2733,0.3667,71.2267,0.3833,79.6133,0.4033,76.9067,0.3333,79.25,0.3433,87.1167,0.5033,87.0433,0.59,72.97,0.44,75.67,0.3867,83.5567,0.53,81.2867,0.3967,88.9033,0.38
79.4833,0.3367,83.44,0.34,74.9133,0.2567,83.4367,0.3733,72.2233,0.3067,80.7633,0.3533,77.9433,0.3167,80.3967,0.3633,88.39,0.49,88.51,0.5167,74.0633,0.43,76.9433,0.4233,84.6967,0.49,82.5333,0.4333,90.22,0.38
80.5367,0.35,84.6033,0.3333,75.9167,0.1933,84.63,0.3867,73.22,0.3433,81.9033,0.3867,78.99,0.2967,81.5233,0.3733,89.65,0.4833,89.8533,0.45,75.14,0.4133,78.2267,0.4667,85.8233,0.4667,83.7133,0.39,91.4533,0.4167
81.6233,0.3267,85.77,0.3733,76.9,0.2733,85.8167,0.39,74.2,0.2867,83.0433,0.3967,80.0233,0.3667,82.61,0.36,90.8667,0.4433,91.16,0.4533,76.2467,0.3767,79.37,0.4033,86.89,0.37,84.87,0.38,92.5833,0.3267
82.74,0.3833,86.92,0.3233,77.92,0.3,87.0267,0.4267,75.2333,0.2933,84.2167,0.3467,81.1633,0.3533,83.7233,0.35,92.1367,0.5167,92.4,0.4467,77.31,0.41,80.5167,0.4167,88.0967,0.5267,86.0567,0.39,93.8533,0.4267
83.8133,0.3133,88.14,0.38,78.9067,0.27,88.1867,0.3667,76.2267,0.3,85.3833,0.3767,82.1967,0.34,84.85,0.3867,93.42,0.5,93.63,0.4333,78.34,0.3667,81.63,0.3867,89.31,0.53,87.2033,0.3933,95.05,0.3967
84.9,0.3633,89.4867,0.3067,79.87,0.2467,89.34,0.38,77.2033,0.26,86.5633,0.3033,83.27,0.3033,86.0967,0.3867,94.67,0.4967,94.9033,0.4533,79.3533,0.3767,82.7433,0.35,90.45,0.4233,88.36,0.4033,96.3833,0.3967
86.0367,0.3333,91.64,0.3133,80.8733,0.2533,90.4767,0.3767,78.2567,0.37,87.74,0.3367,84.3567,0.35,87.2567,0.37,95.9333,0.47,96.1767,0.4833,80.3533,0.3733,83.8733,0.38,91.7467,0.5767,89.5267,0.4067,97.73,0.3933
87.0567,0.3633,93.32,0.3167,81.9033,0.2467,91.5867,0.3467,79.0667,0.1767,88.9,0.31,85.51,0.3567,88.3967,0.37,97.3267,0.5133,97.4267,0.45,81.31,0.3367,84.99,0.39,92.7967,0.4167,90.6733,0.38,98.9833,0.3367
88.1533,0.35,94.8167,0.4733,82.87,0.2367,92.6867,0.34,79.6067,0.1767,90.0467,0.39,86.5033,0.3267,89.5467,0.3933,98.67,0.5333,98.6433,0.43,82.2833,0.37,86.1067,0.3967,94.1033,0.6067,91.8533,0.4033,100.0667,0.2667
89.24,0.3467,96.2,0.39,83.7767,0.26,93.8367,0.3867,80.5,0.17,91.1967,0.37,87.9433,0.2667,90.75,0.37,99.9867,0.5067,99.8633,0.4267,83.2433,0.3667,87.2233,0.3867,95.23,0.47,93.0133,0.4367,101.8733,0.33
90.33,0.32,97.53,0.3733,84.7033,0.23,94.9967,0.37,81.6,0.37,92.3333,0.37,89.0233,0.2767,91.9167,0.3267,101.1433,0.39,101.0433,0.41,84.2367,0.3767,88.4167,0.4167,96.33,0.41,94.2067,0.4067,102.8333,0.39
91.4233,0.3567,98.92,0.4,85.7,0.2467,96.1067,0.36,82.5367,0.26,93.5233,0.3333,90.2067,0.36,93.14,0.3833,101.92,0.2667,102.27,0.43,85.2,0.36,89.54,0.4167,97.42,0.4567,95.36,0.4067,104.5667,0.1867
92.5833,0.36,100.1833,0.3033,86.66,0.2433,97.23,0.32,83.5133,0.3,94.65,0.3167,91.3033,0.36,94.5233,0.43,103.1833,0.46,103.52,0.43,86.1867,0.3733,90.6233,0.42,98.5167,0.44,96.5067,0.4033,105.86,0.49
93.7733,0.3633,101.6267,0.3733,87.5833,0.1733,98.3267,0.3567,84.4733,0.2767,95.8433,0.3967,92.42,0.4,95.8333,0.29,104.4633,0.55,104.7767,0.4433,87.15,0.3467,91.72,0.4067,99.5767,0.4367,97.61,0.3633,107.31,0.4733
94.6733,0.3967,103.0067,0.42,88.5567,0.26,99.48,0.3833,85.46,0.2767,97.03,0.3833,93.47,0.3067,97.0567,0.3133,105.5633,0.3267,105.98,0.4167,88.1233,0.3667,92.8167,0.4,100.6833,0.4533,98.7633,0.4167,108.61,0.46
95.5967,0.1433,104.2033,0.3367,89.51,0.1833,100.6967,0.3767,86.3967,0.37,98.3333,0.2233,94.5767,0.3167,98.2767,0.4133,106.9067,0.5133,107.2033,0.4333,89.1433,0.37,93.8933,0.3867,101.7833,0.4833,99.9767,0.4,109.9633,0.4633
97.3033,0.2967,105.3333,0.3,90.4333,0.2033,101.8233,0.3667,87.4133,0.2867,99.5433,0.1933,95.67,0.3533,99.4,0.41,108.0933,0.4433,108.4633,0.4467,90.18,0.38,94.8833,0.34,102.85,0.4433,101.14,0.3967,111.35,0.4067
98.3567,0.3,106.57,0.36,91.3933,0.1567,102.9833,0.3667,88.4067,0.2867,100.8233,0.4367,96.76,0.35,100.5633,0.3933,109.4167,0.5233,109.6733,0.43,91.2,0.35,95.8533,0.35,103.8967,0.4333,102.2967,0.3733,112.64,0.3867
99.48,0.3167,107.7433,0.3333,103.2633,0.1567,104.1133,0.3567,89.3967,0.2767,101.9633,0.3567,97.7733,0.33,101.7133,0.3433,110.71,0.48,110.9233,0.4633,92.22,0.3567,96.8433,0.39,104.95,0.48,103.4833,0.3867,114.0333,0.3533
100.5767,0.3433,108.8967,0.3567,104.1667,0.14,105.2833,0.3767,90.3233,0.2867,103.08,0.3933,98.8233,0.3333,102.8,0.36,111.9767,0.48,112.2,0.4533,93.2033,0.3567,97.85,0.3633,106.01,0.44,104.6433,0.4167,115.4367,0.4367
101.7067,0.37,110.05,0.3367,105.04,0.21,106.3967,0.3533,91.2867,0.2967,104.1833,0.37,99.8567,0.35,103.9433,0.3467,113.2367,0.5,113.43,0.4367,94.19,0.3833,98.8267,0.3733,106.9567,0.4067,105.7533,0.3867,116.7367,0.38
102.8167,0.32,111.2333,0.3367,105.98,0.26,107.5867,0.3967,92.29,0.2967,105.3367,0.3867,100.86,0.3333,105.1067,0.3667,114.5233,0.5133,114.6467,0.4433,95.19,0.3633,99.83,0.37,107.9733,0.4233,106.88,0.3833,117.8733,0.22
103.9033,0.33,112.4067,0.2967,107.02,0.2567,108.7667,0.3833,93.2333,0.29,106.4867,0.36,101.9633,0.35,106.1767,0.3733,115.73,0.4667,115.9133,0.4267,96.17,0.37,100.8333,0.3967,109.0033,0.42,107.99,0.3867,119.18,0.4133
105.0167,0.37,113.6,0.37,107.9967,0.2667,109.9033,0.37,94.19,0.2933,107.6633,0.3833,103.02,0.3333,107.2433,0.35,116.97,0.4933,117.1433,0.4267,97.1633,0.3667,101.8067,0.3433,109.9867,0.3933,109.1567,0.3833,120.5633,0.42
106.11,0.3133,114.7767,0.34,108.9733,0.2633,111.0567,0.3733,95.1767,0.28,108.7767,0.3267,104.0233,0.3,108.3633,0.3433,118.1867,0.4733,118.35,0.4367,98.1667,0.3667,102.7633,0.3867,111.0,0.4267,110.3267,0.3933,121.8767,0.36
107.1567,0.33,115.9567,0.3833,109.9733,0.28,112.2167,0.3767,96.19,0.3033,109.9067,0.37,105.1133,0.3533,109.4933,0.35,119.47,0.4967,119.5933,0.4467,99.1667,0.36,103.8,0.3933,112.09,0.4733,111.5067,0.39,123.2433,0.4133
108.27,0.3833,117.2367,0.37,110.97,0.27,113.3667,0.4,97.1467,0.3,111.0367,0.3167,106.0967,0.3,110.6,0.3833,120.7167,0.4667,120.8,0.4367,100.1667,0.3633,104.8,0.3667,113.1067,0.4167,112.6833,0.3667,124.8133,0.4467
109.32,0.3567,118.4367,0.3433,111.9433,0.2533,114.46,0.2833,98.1,0.2967,112.1733,0.4,107.14,0.3067,111.7433,0.3567,121.9867,0.49,122.0167,0.4333,101.15,0.36,105.8167,0.39,114.0133,0.3267,113.9533,0.4467,126.1033,0.34
110.3733,0.3067,119.5433,0.2867,112.92,0.2633,115.83,0.3767,99.12,0.3067,113.3033,0.35,108.1833,0.2833,112.8567,0.3733,123.2767,0.5133,123.2333,0.4367,102.12,0.37,106.84,0.38,114.9433,0.33,115.19,0.4633,127.4933,0.33
111.38,0.3333,121.0367,0.5867,113.8867,0.24,117.07,0.3733,100.0933,0.3067,114.4333,0.38,109.18,0.3267,114.0033,0.3467,124.5233,0.5033,124.44,0.4267,103.09,0.3567,107.8733,0.3367,115.92,0.3167,116.4033,0.41,128.8633,0.46
112.45,0.3567,122.36,0.4467,114.8667,0.26,118.2367,0.37,101.11,0.2933,115.54,0.3167,110.2267,0.3333,115.16,0.3733,125.7667,0.5033,125.6433,0.43,104.0633,0.3667,108.9433,0.3933,116.9233,0.4533,117.5733,0.37,130.2567,0.3933
113.53,0.3367,123.5633,0.3467,115.8167,0.26,119.3633,0.3533,102.1033,0.3033,116.7,0.3267,111.2333,0.35,116.25,0.34,127.0467,0.4433,126.85,0.4333,105.0367,0.36,110.0033,0.3933,117.91,0.38,118.7167,0.3767,131.52,0.3033
114.5867,0.3833,124.7333,0.2967,116.7667,0.23,120.5,0.3667,103.0967,0.3167,117.8067,0.32,112.35,0.3567,117.4233,0.3733,128.24,0.48,128.0533,0.4333,106.01,0.3533,111.0267,0.3933,118.89,0.4167,119.9267,0.3167,133.04,0.4567
115.7,0.3933,125.83,0.3367,117.66,0.19,121.6467,0.4,104.0467,0.2767,118.8967,0.3867,113.3933,0.3167,118.58,0.3633,129.42,0.4133,129.2767,0.44,107.0033,0.3533,112.05,0.3933,119.8333,0.3667,121.0833,0.38,134.33,0.4133
